nama,alamat,tempat_lahir,phone_number,tanggal_lahir,ipk,tanggal_daftar
Sutan Capa Usamah,Gg. M.H Thamrin No. 2,Pematangsiantar,(0540) 699 2268,1964-11-18,3.38,2018-12-16
"Kairav Situmorang, S.E.I",Jl. Merdeka No. 649,Samarinda,+62-39-895-3429,2002-02-11,3.45,2020-07-20
Drs. Yuni Astuti,Gang Ahmad Dahlan No. 17,Palembang,+62 (54) 377-9620,1977-08-30,3.6,2023-01-18
Indah Wibowo,Gg. Jend. Sudirman No. 75,Kota Administrasi Jakarta Barat,(076) 710 6644,1989-01-23,3.4,2020-05-21
"dr. Gada Maheswara, S.Sos",Gg. Ronggowarsito No. 91,Samarinda,+62 (76) 862-5182,1983-12-12,3.72,2020-12-01
"Viman Marpaung, M.Farm",Jalan Setiabudhi No. 03,Cilegon,(087) 951-9798,2000-04-06,3.55,2020-07-16
Hadi Januar,Jl. Rungkut Industri No. 3,Palangkaraya,(0595) 947 1261,1995-01-01,3.43,2021-09-27
Karen Siregar,Gg. Indragiri No. 916,Pekalongan,088 286 3746,1977-09-25,3.13,2020-02-12
KH. Jaga Yulianti,Gang Astana Anyar No. 457,Kota Administrasi Jakarta Utara,(0375) 955-3642,1964-08-12,3.21,2018-11-04
Mustika Pudjiastuti,Jalan PHH. Mustofa No. 95,Cilegon,+62 (08) 970 8674,1976-08-21,3.44,2020-08-11
"R. Keisha Uwais, S.Pd",Jalan Jayawijaya No. 29,Cimahi,+62 (85) 471-9107,1969-07-31,3.16,2022-02-27
Hasan Usada,Gang Medokan Ayu No. 69,Surakarta,+62 (568) 934-6170,1964-02-02,3.41,2018-09-09
Makara Mansur,Jalan Otto Iskandardinata No. 85,Tangerang Selatan,0815331160,1989-12-13,3.39,2018-09-28
"Hj. Queen Wasita, S.Gz",Jl. Sukabumi No. 05,Balikpapan,+62 (742) 915-2510,1995-10-31,3.46,2019-03-18
"dr. Salman Wacana, M.Ak",Gg. Gedebage Selatan No. 330,Tanjungpinang,(019) 625 6236,2002-10-30,3.25,2023-03-23
Amalia Nuraini,Gang Rawamangun No. 288,Mojokerto,+62-88-747-6077,1996-01-10,3.46,2018-11-06
Ganep Nuraini,Gg. Tubagus Ismail No. 641,Bandung,(0518) 056-2889,1974-10-19,3.44,2020-10-05
Asmadi Mandasari,Jalan PHH. Mustofa No. 5,Ambon,+62-052-205-4536,1991-04-15,3.7,2019-03-02
Anggabaya Wasita,Gang Rungkut Industri No. 2,Ambon,+62 (930) 374-1601,1999-03-28,3.38,2022-12-07
Gaman Mardhiyah,Jalan Jend. Sudirman No. 56,Semarang,085 711 5205,2002-10-09,3.46,2022-05-30
"T. Purwa Yolanda, S.Ked",Gang Jend. Sudirman No. 1,Tangerang,+62-767-913-7267,1979-10-08,3.52,2022-03-19
Elvina Simanjuntak,Jalan Ahmad Dahlan No. 20,Pontianak,0865179889,2001-05-13,3.35,2021-03-22
Kamaria Hassanah,Gg. BKR No. 3,Pasuruan,+62 (056) 959 4047,1970-11-20,3.34,2020-01-26
"Dr. Daniswara Utami, S.Farm",Gg. Ahmad Dahlan No. 84,Mojokerto,+62-036-329-8807,1979-10-09,3.46,2019-06-01
"T. Mulyanto Tamba, M.Ak",Gg. Cempaka No. 398,Bitung,(0994) 418 3390,1975-09-28,3.46,2023-01-22
"R. Hari Prasasta, S.Psi",Gang Pasteur No. 0,Bontang,+62 (0418) 544 2332,1978-07-20,3.69,2022-09-08
Jasmin Maheswara,Gg. Merdeka No. 588,Semarang,+62-686-587-6790,1970-08-25,3.65,2022-04-01
Laila Waluyo,Gg. Suniaraja No. 983,Pariaman,+62-078-624-1159,1976-07-03,3.62,2019-04-19
"Kawaya Napitupulu, M.Ak",Jl. Merdeka No. 4,Tangerang Selatan,+62-356-949-7033,1984-12-01,3.32,2019-02-08
Pia Nasyidah,Jalan Kebonjati No. 0,Malang,0834876311,1985-07-14,3.5,2022-12-21
Fathonah Widiastuti,Gg. Pasir Koja No. 6,Sawahlunto,+62 (0935) 159 6503,1976-04-15,3.5,2023-01-26
"Jelita Pradipta, S.Sos",Gang Kutisari Selatan No. 47,Palangkaraya,+62 (098) 774 2289,2001-03-12,3.46,2018-12-19
Eva Maheswara,Gang Ahmad Yani No. 7,Batam,+62-52-910-2236,1995-04-10,3.48,2023-03-17
"T. Martaka Mansur, S.E.I",Jl. PHH. Mustofa No. 67,Singkawang,+62-47-793-3319,1984-08-26,3.27,2018-09-25
Cakrawangsa Anggriawan,Gang Ciumbuleuit No. 68,Samarinda,+62 (0828) 786 6015,1963-11-07,3.33,2021-06-27
"R.M. Mustika Maryadi, S.E.",Gg. Rungkut Industri No. 19,Tasikmalaya,+62-0013-206-7385,1985-02-19,3.48,2022-10-19
"Kezia Usamah, S.E.I",Jl. PHH. Mustofa No. 9,Ambon,+62-354-996-9366,1988-10-10,3.4,2023-04-22
Mariadi Hutapea,Jl. Dr. Djunjunan No. 7,Banda Aceh,083 324 9909,1982-05-08,3.58,2023-03-11
"Patricia Sihotang, S.IP",Jl. Ronggowarsito No. 16,Banjarmasin,+62 (90) 278-5560,1987-06-12,3.44,2021-06-07
Ikhsan Saefullah,Jalan Rawamangun No. 697,Bekasi,+62-0135-476-2836,1996-05-07,3.31,2022-06-27
"KH. Saka Thamrin, S.Farm",Gang Cikapayang No. 4,Pekalongan,0877219291,1988-10-05,3.6,2021-03-27
Najwa Mandasari,Jalan M.T Haryono No. 67,Bogor,(0813) 611-1535,1970-06-04,3.5,2020-09-15
"H. Karsana Kuswoyo, S.Farm",Gg. Rajiman No. 2,Jayapura,081 687 8764,1968-09-28,3.42,2022-12-16
Hasan Pudjiastuti,Jalan Antapani Lama No. 1,Tasikmalaya,+62 (896) 335 3188,1993-02-02,3.54,2020-03-10
"Tgk. Zaenab Safitri, S.Pd",Jl. Bangka Raya No. 6,Prabumulih,+62-034-232-8212,1976-09-01,3.62,2022-11-15
Baktiadi Hastuti,Jalan Kutai No. 2,Tual,+62 (64) 884 0941,1970-04-11,3.56,2018-10-25
"Najwa Hidayanto, M.Farm",Gang Dipenogoro No. 9,Tarakan,(035) 631 8043,2002-07-22,3.62,2020-07-09
Caket Salahudin,Jl. Rungkut Industri No. 8,Probolinggo,+62 (0959) 491-1463,1964-04-15,3.6,2021-09-03
Dr. Rahmi Permadi,Gang Joyoboyo No. 502,Batam,+62-233-703-2746,1989-12-30,3.58,2019-02-25
"Drs. Among Maulana, S.Psi",Jl. Kutisari Selatan No. 8,Mataram,+62 (979) 003 8002,1990-09-12,3.58,2023-03-09
Nardi Siregar,Jl. Yos Sudarso No. 16,Kota Administrasi Jakarta Selatan,+62 (29) 562 3408,1995-10-14,3.56,2021-12-04
Wawan Halimah,Jl. Sukabumi No. 5,Sawahlunto,+62 (03) 891-0116,1982-05-16,3.62,2020-08-21
Lanang Permadi,Jalan Raya Setiabudhi No. 5,Palembang,+62 (533) 296 0636,1997-09-07,3.6,2021-04-29
Febi Nugroho,Jalan Laswi No. 21,Batu,(0787) 381 1736,2002-05-01,3.67,2022-02-04
"dr. Hardana Habibi, M.Ak",Gg. S. Parman No. 6,Tangerang Selatan,+62-219-086-2620,1998-08-06,3.58,2023-03-28
"T. Salman Gunarto, S.H.",Jl. Kutisari Selatan No. 446,Mataram,(082) 371-0362,1970-03-02,3.6,2020-01-09
Talia Permata,Jalan Rajawali Barat No. 74,Cilegon,0890793816,1971-10-10,3.56,2019-12-14
"R.A. Kartika Hidayat, M.TI.",Gang Asia Afrika No. 887,Gorontalo,+62 (43) 901-7742,1978-06-15,3.56,2019-10-16
Hj. Titin Kusumo,Jalan Suryakencana No. 277,Lubuklinggau,+62-0387-090-5437,1989-09-26,3.48,2022-06-27
"Banara Andriani, S.IP",Gang Cihampelas No. 70,Purwokerto,+62 (096) 079-5817,2003-02-13,3.58,2021-03-16
"Lantar Kusumo, S.Ked",Jl. Dipatiukur No. 5,Malang,+62 (315) 427 2139,1984-01-19,3.12,2019-12-30
Kemal Sihotang,Jalan Kutisari Selatan No. 31,Metro,+62 (19) 212-0873,1978-04-15,3.32,2021-06-24
R. Hardana Nugroho,Gg. Kebonjati No. 031,Kota Administrasi Jakarta Pusat,(027) 439-5286,1965-02-12,3.35,2020-06-02
Kenzie Prayoga,Jl. Surapati No. 92,Madiun,(013) 348 9906,1979-07-06,3.48,2022-07-15
Oskar Narpati,Gang Kebonjati No. 511,Cilegon,+62 (0790) 263-2624,1999-04-18,3.65,2018-06-19
Kayun Prasetya,Gang Pasteur No. 88,Padangpanjang,+62 (90) 613-6642,1969-07-15,3.52,2019-06-23
Waluyo Waluyo,Gg. Jakarta No. 3,Pariaman,+62 (0330) 290-6075,1979-09-21,3.43,2020-11-15
Mariadi Prabowo,Gang Yos Sudarso No. 086,Semarang,+62 (048) 466 5886,1990-12-02,3.45,2021-01-09
Drs. Omar Damanik,Jl. S. Parman No. 4,Kendari,+62-0673-056-8561,1990-03-19,3.14,2020-05-20
Lalita Safitri,Jl. Kutisari Selatan No. 518,Blitar,089 013 8412,1979-03-15,3.45,2023-01-01
Balapati Suartini,Jl. Tebet Barat Dalam No. 18,Bengkulu,+62 (010) 847-1548,1979-04-14,3.48,2018-06-19
"Syahrini Anggraini, M.M.",Gang Merdeka No. 49,Tangerang,+62 (525) 895-9731,1972-02-07,3.45,2019-10-11
"Cici Latupono, S.Psi",Gg. Wonoayu No. 704,Magelang,+62 (296) 902-3661,1981-03-05,2.92,2020-02-13
Halima Prasetyo,Gg. Ronggowarsito No. 7,Mataram,+62 (38) 801-7784,1973-06-20,3.38,2022-12-14
Dalima Rahimah,Gang Merdeka No. 596,Kota Administrasi Jakarta Pusat,+62-551-458-3329,1975-07-01,3.5,2021-07-11
"Hj. Shania Wijayanti, S.Ked",Gang Medokan Ayu No. 705,Tomohon,(0504) 158 7498,1968-07-24,3.48,2019-04-11
"R.A. Dinda Nasyidah, S.H.",Gg. Suniaraja No. 49,Langsa,+62 (57) 822 7606,1970-06-09,3.72,2020-02-26
"R. Jinawi Hidayat, M.Pd",Jl. Bangka Raya No. 28,Batam,(0237) 079-4477,1998-08-24,3.45,2020-09-03
Ifa Pradana,Gang M.T Haryono No. 65,Tomohon,+62 (0315) 275 6358,1969-06-06,3.42,2022-07-20
Cawisadi Hutagalung,Jl. Medokan Ayu No. 23,Pagaralam,(0662) 561 4657,1977-05-15,3.48,2019-07-14
"Bahuraksa Prakasa, S.Gz",Gg. PHH. Mustofa No. 496,Dumai,+62 (0591) 934-9577,1995-10-07,3.5,2022-02-11
"KH. Lasmono Wulandari, M.Farm",Gang M.H Thamrin No. 705,Langsa,0827424267,1974-03-31,3.15,2018-10-08
Eka Budiyanto,Jalan Veteran No. 14,Padang,+62 (0057) 004 7318,1996-09-04,3.39,2020-06-25
"H. Eko Wulandari, M.Ak",Jalan Jend. A. Yani No. 399,Singkawang,080 861 6585,1993-02-10,3.25,2020-05-03
Syahrini Sinaga,Jl. Dipatiukur No. 36,Tegal,(0394) 388-4871,1966-12-16,3.31,2019-09-02
Cawisadi Yuliarti,Gg. Kutai No. 12,Pekanbaru,+62-0387-123-5916,1997-06-26,3.5,2023-04-18
Irsad Kusmawati,Jl. Rajawali Timur No. 574,Medan,+62-45-153-7827,1986-11-28,3.36,2018-10-17
Drajat Pangestu,Gg. Lembong No. 1,Sibolga,(095) 020 4454,1984-09-06,3.45,2019-11-12
Yulia Tampubolon,Gang K.H. Wahid Hasyim No. 0,Madiun,+62 (0503) 596 8913,1970-11-14,3.48,2018-08-14
"Padma Siregar, M.TI.",Jl. Surapati No. 6,Gorontalo,+62-0886-443-7861,1997-07-18,3.34,2022-05-07
"Eko Marbun, M.Pd",Jalan Dr. Djunjunan No. 021,Pekanbaru,(025) 269 9911,1999-06-13,3.14,2023-05-17
"Drs. Hairyanto Oktaviani, S.Gz",Gang Gegerkalong Hilir No. 033,Pematangsiantar,+62 (01) 580-9102,1972-08-07,3.23,2020-06-01
Ifa Suryatmi,Gang Cikutra Timur No. 759,Gorontalo,+62 (643) 310 0378,1978-05-02,3.47,2022-04-15
Dr. Cindy Mahendra,Jl. R.E Martadinata No. 405,Makassar,+62 (273) 542 8865,2003-02-09,3.16,2023-02-07
Atma Najmudin,Jl. Pelajar Pejuang No. 25,Sukabumi,+62 (164) 180 8932,1973-08-05,3.34,2018-12-18
Prayogo Nuraini,Gang Waringin No. 5,Padang,(081) 409 4049,1997-07-14,3.2,2023-01-06
Rika Hardiansyah,Gg. Monginsidi No. 14,Mojokerto,+62 (091) 683-0077,1976-01-25,3.36,2020-01-08
Putu Saragih,Jl. Lembong No. 882,Tegal,086 714 4871,1987-06-17,3.35,2019-07-26
"Dr. Lurhur Simanjuntak, S.E.",Jalan Tebet Barat Dalam No. 6,Meulaboh,+62 (014) 476-1872,1989-06-30,3.43,2022-07-14
"Dr. Karsa Maheswara, S.Pd",Jalan Merdeka No. 7,Kotamobagu,+62 (0506) 691-3762,1972-11-26,3.42,2022-12-20
"Puti Laila Nashiruddin, M.Farm",Gang Cihampelas No. 807,Manado,+62 (069) 368 6338,2000-09-22,3.41,2020-07-15
Harsana Wasita,Gang M.T Haryono No. 924,Mataram,+62 (0230) 772 3815,1988-01-31,3.09,2020-10-04
dr. Wakiman Kuswandari,Jl. Jend. A. Yani No. 747,Tebingtinggi,+62 (34) 754 4037,1989-03-16,3.31,2022-02-14
Setya Suryono,Gg. Lembong No. 7,Purwokerto,+62 (82) 052-2680,1980-09-12,3.4,2023-02-13
Garang Kusmawati,Jalan Sadang Serang No. 75,Kotamobagu,+62-0473-292-4952,1971-07-16,3.43,2020-06-28
Ifa Purwanti,Jalan Kiaracondong No. 9,Bontang,088 290 8260,1989-11-28,3.55,2021-09-08
"dr. Vino Megantara, S.I.Kom",Jl. Rumah Sakit No. 9,Kota Administrasi Jakarta Timur,+62 (0598) 653 1133,1997-07-18,3.08,2020-03-02
Wahyu Yulianti,Jl. Pelajar Pejuang No. 9,Salatiga,+62 (948) 250-5163,1975-01-13,3.55,2020-07-11
Raditya Palastri,Jl. Moch. Ramdan No. 716,Kendari,(0262) 511-1034,2000-11-25,3.11,2019-06-10
"Hendra Usada, S.IP",Gang Suniaraja No. 22,Tanjungbalai,+62 (394) 915-7268,1987-11-16,3.23,2022-10-17
Lili Ramadan,Jl. Merdeka No. 545,Cimahi,(043) 200-6515,1964-12-04,3.2,2023-02-08
"Tgk. Almira Yulianti, S.E.I",Jl. Cihampelas No. 3,Tanjungbalai,+62 (873) 119 6223,1968-06-02,3.04,2018-10-08
Teddy Habibi,Jl. Ciwastra No. 1,Kota Administrasi Jakarta Timur,(061) 301-7467,1988-05-21,3.32,2022-09-02
Cemani Sihombing,Gg. Yos Sudarso No. 6,Semarang,+62 (372) 572-9883,1982-05-11,3.39,2021-07-19
Taswir Pradana,Jl. Suryakencana No. 47,Kediri,+62 (081) 298 5102,2002-09-07,3.39,2022-12-02
"Ir. Genta Nurdiyanti, S.E.",Jalan Surapati No. 0,Pangkalpinang,+62-0364-662-0016,1991-05-01,3.5,2021-01-12
"Langgeng Latupono, M.TI.",Jl. BKR No. 683,Kediri,0862428554,1987-11-23,3.09,2023-03-10
Amelia Yolanda,Gang Joyoboyo No. 61,Payakumbuh,+62 (38) 122 6503,1980-08-13,3.39,2020-06-19
"Zahra Padmasari, S.T.",Jalan Abdul Muis No. 2,Banjarbaru,+62 (027) 152 6210,1975-01-22,3.09,2021-11-05
Shakila Haryanti,Gang Yos Sudarso No. 810,Subulussalam,(065) 274 2118,2001-10-27,3.15,2021-03-17
Olivia Yolanda,Gg. Surapati No. 5,Jayapura,+62-354-658-2390,1986-06-07,3.35,2018-05-25
Nadine Yuliarti,Jl. Antapani Lama No. 5,Pagaralam,(083) 913 9355,1969-11-26,3.64,2021-06-14
H. Darijan Purnawati,Gg. Gardujati No. 512,Sukabumi,+62 (90) 947 7359,1984-09-14,3.3,2020-12-30
Faizah Haryanti,Gang Stasiun Wonokromo No. 3,Mataram,+62-0423-056-2564,1983-01-03,3.48,2019-01-21
"Ir. Umi Utama, S.E.I",Gg. Jend. A. Yani No. 1,Balikpapan,+62 (0472) 991-6325,1996-04-07,3.16,2020-02-07
Lembah Rahmawati,Jalan Surapati No. 5,Palangkaraya,+62 (050) 330 9848,2000-09-18,3.3,2020-09-18
Wardaya Permadi,Gang Moch. Ramdan No. 4,Banjarbaru,(037) 266 1789,1977-08-21,3.06,2021-12-03
Lili Wahyudin,Jl. Veteran No. 46,Ambon,081 637 8116,1977-10-14,3.28,2018-07-20
Ir. Chelsea Haryanti,Jl. Raya Setiabudhi No. 64,Banjarmasin,+62 (57) 996-1618,1977-11-21,3.39,2019-12-07
Sakura Astuti,Gg. Kiaracondong No. 16,Kota Administrasi Jakarta Utara,(022) 417 8266,1973-11-01,2.91,2023-03-03
Padmi Permadi,Jl. Rawamangun No. 8,Depok,+62 (81) 669 3195,1978-06-03,3.18,2023-03-09
Ganda Mansur,Gg. HOS. Cokroaminoto No. 227,Gorontalo,+62-857-252-2774,1975-10-26,1.28,2020-07-02
Padmi Hasanah,Gg. Tebet Barat Dalam No. 296,Serang,+62-515-713-8129,1991-04-26,3.44,2022-05-26
R.A. Gina Saputra,Jalan Kutisari Selatan No. 7,Pontianak,+62 (275) 043 0921,2001-02-07,3.48,2020-07-25
Irma Jailani,Jalan Monginsidi No. 5,Batam,0811506616,1983-07-21,3.66,2022-12-06
"Siti Mustofa, S.IP",Gang Raya Ujungberung No. 9,Samarinda,+62 (25) 679 9033,1973-01-04,3.48,2020-06-26
Hardi Jailani,Jl. Antapani Lama No. 04,Depok,(0456) 948 0623,1986-05-15,3.61,2018-12-28
"Genta Sinaga, M.TI.",Gg. Pasir Koja No. 0,Bekasi,+62 (933) 933-3679,1971-01-10,3.27,2022-12-10
"Tgk. Widya Napitupulu, S.Psi",Gg. Kapten Muslihat No. 5,Kota Administrasi Jakarta Timur,(088) 001-0161,1976-11-03,3.67,2020-06-27
Winda Suartini,Gang KH Amin Jasuta No. 722,Pontianak,+62 (072) 522 0899,1997-05-13,3.61,2022-02-06
Karen Mandala,Gg. Monginsidi No. 1,Pematangsiantar,+62 (0635) 691-2894,1990-01-24,3.7,2019-06-04
"Ghani Haryanto, S.Kom",Jl. Jend. Sudirman No. 869,Langsa,(0880) 285 0866,1991-06-09,3.59,2021-06-09
Puti Cindy Rahmawati,Jl. Kendalsari No. 921,Bandung,+62 (38) 199 7974,1975-07-08,3.68,2022-05-01
Lintang Padmasari,Gg. Peta No. 751,Serang,+62 (356) 371-7262,1996-11-28,3.69,2023-05-03
drg. Zaenab Utami,Gang Stasiun Wonokromo No. 4,Sungai Penuh,+62-0488-500-2409,1987-07-10,3.21,2021-06-26
"Wirda Usamah, S.I.Kom",Gg. Kiaracondong No. 75,Binjai,(088) 653-1510,1998-05-18,3.25,2018-07-26
Cemani Wijayanti,Jalan Stasiun Wonokromo No. 0,Manado,+62-000-367-4777,1988-05-04,3.25,2021-08-05
"dr. Elvina Ardianto, S.H.",Jalan Surapati No. 9,Bandung,+62-041-387-7607,1968-02-04,2.92,2023-04-01
"Drs. Hana Pratama, M.Kom.",Gg. Sukajadi No. 469,Madiun,+62 (058) 572 3147,1974-11-05,2.84,2020-01-01
Febi Maryati,Jl. Ir. H. Djuanda No. 202,Banjarmasin,+62 (038) 106 7904,1970-06-29,3.33,2022-07-27
"T. Kamidin Sihotang, S.IP",Gg. Erlangga No. 117,Dumai,(0272) 203 5353,1991-05-17,3.52,2022-10-03
Ibrani Siregar,Gang Cikapayang No. 25,Semarang,+62 (0252) 348-6021,1972-06-20,3.54,2022-03-07
"Dt. Utama Suartini, S.Sos",Jalan Sadang Serang No. 6,Banjar,+62 (0354) 147-8454,1991-10-04,3.52,2022-10-21
Salsabila Wijayanti,Gg. K.H. Wahid Hasyim No. 4,Pekalongan,(057) 015-1795,1969-05-21,3.14,2018-08-04
"Lala Wahyuni, M.M.",Gang Asia Afrika No. 1,Bandar Lampung,083 328 1472,1964-04-25,3.35,2023-05-13
Ade Melani,Gg. BKR No. 015,Tangerang,+62-22-794-0371,1995-05-31,3.06,2021-08-12
Hj. Humaira Salahudin,Gg. Dr. Djunjunan No. 12,Kota Administrasi Jakarta Timur,(015) 441 9696,1971-02-10,3.15,2020-08-14
Keisha Yolanda,Jl. Jend. Sudirman No. 2,Jambi,+62-0668-038-4854,1971-09-02,3.35,2018-11-07
Tantri Usada,Gang Ahmad Dahlan No. 227,Mataram,+62 (42) 447 3333,1982-04-05,3.38,2020-02-07
"Icha Agustina, S.Gz",Gg. Ahmad Yani No. 988,Sabang,0880022468,1996-01-16,3.6,2021-01-22
"Vicky Marpaung, S.Psi",Jl. Joyoboyo No. 805,Pagaralam,+62-293-594-1372,1968-09-27,3.83,2023-05-06
Zulfa Nasyidah,Jl. Joyoboyo No. 657,Palopo,(077) 295-2823,1993-02-25,3.5,2021-09-23
Jail Mangunsong,Jl. Cikutra Timur No. 6,Sawahlunto,+62-610-415-8760,2001-06-10,3.67,2020-05-01
Salimah Susanti,Gg. Erlangga No. 274,Sukabumi,(074) 267-6972,1997-05-19,3.27,2022-01-14
Aslijan Adriansyah,Jalan PHH. Mustofa No. 62,Tanjungpinang,+62 (89) 304-5385,1993-08-17,3.15,2019-01-09
Daliman Halimah,Jl. Sukabumi No. 6,Singkawang,+62 (0693) 073-5861,1987-04-22,3.67,2020-03-08
Suci Setiawan,Gg. Jend. A. Yani No. 25,Pekalongan,+62 (71) 636-7925,1973-02-12,3.46,2021-09-30
Irfan Tampubolon,Jl. Medokan Ayu No. 67,Tual,(096) 393-6262,1984-11-30,3.5,2023-02-10
Tomi Melani,Gg. Rungkut Industri No. 37,Sabang,082 429 8405,2002-11-14,3.52,2018-09-16
Dr. Estiawan Siregar,Jalan Medokan Ayu No. 47,Surakarta,+62 (324) 521-0462,2002-12-10,3.73,2022-09-23
Febi Januar,Gg. Pacuan Kuda No. 19,Kediri,(053) 420-4014,1996-03-26,3.6,2018-05-30
Febi Anggriawan,Gang Kebonjati No. 850,Tangerang,+62 (13) 088 5980,1983-11-13,3.55,2021-08-21
Dt. Karsana Aryani,Jl. Jend. A. Yani No. 026,Batu,+62 (393) 312-7222,1992-12-24,3.45,2019-01-31
Narji Rahayu,Jl. Rajawali Timur No. 951,Banjar,+62 (79) 897-6430,1996-02-01,3.44,2021-12-05
"Tgk. Lanjar Saputra, S.I.Kom",Jl. Ahmad Dahlan No. 93,Denpasar,+62-020-335-9617,1963-07-28,3.19,2022-11-05
"drg. Jati Prakasa, S.Pd",Gang Erlangga No. 5,Tegal,+62-096-660-8587,1997-11-25,2.85,2021-07-12
R.A. Gawati Hassanah,Gg. Ronggowarsito No. 98,Tangerang Selatan,(055) 034-4491,1971-07-13,2.81,2019-11-10
"Queen Lazuardi, M.Ak",Gg. Tubagus Ismail No. 876,Kotamobagu,+62-19-202-9812,1971-04-09,3.46,2020-04-07
"Asirwanda Palastri, S.Farm",Jl. Sukabumi No. 0,Pontianak,+62 (64) 586-6233,1998-03-18,3.79,2022-05-17
"drg. Cici Damanik, S.Kom",Jl. Otto Iskandardinata No. 578,Pekanbaru,+62 (13) 097 2772,1978-04-24,3.5,2023-04-04
Mahmud Budiman,Jl. Pasir Koja No. 2,Pontianak,+62-920-304-8457,1965-12-23,3.27,2023-02-19
"dr. Restu Nasyidah, S.E.I",Gg. S. Parman No. 4,Kota Administrasi Jakarta Selatan,083 340 2370,1990-06-25,3.62,2020-05-13
Daliman Rahayu,Gg. Jend. A. Yani No. 4,Meulaboh,080 886 7740,1970-04-25,3.75,2023-01-03
Cawisadi Prasasta,Jalan Sadang Serang No. 4,Padang Sidempuan,(0740) 569 0040,2002-12-29,3.59,2021-02-05
Gambira Andriani,Jalan Cihampelas No. 248,Banjar,+62 (0629) 726-5413,1991-07-22,3.47,2021-04-11
Ira Nainggolan,Gang Stasiun Wonokromo No. 08,Tanjungbalai,(0544) 410-2452,1965-08-26,3.38,2023-04-03
"Puti Oliva Lazuardi, S.T.",Jalan Siliwangi No. 68,Pagaralam,+62-978-997-3756,1991-06-02,3.75,2019-07-22
Among Najmudin,Gg. Raya Setiabudhi No. 93,Tegal,(0419) 134-4828,2002-12-15,3.66,2019-02-19
Prakosa Mandasari,Gang Merdeka No. 29,Makassar,+62 (880) 112-8067,1995-12-14,3.53,2023-03-25
Prasetyo Prayoga,Gg. Rungkut Industri No. 5,Purwokerto,+62 (570) 443 2046,1969-02-10,3.78,2020-05-31
"Safina Sinaga, S.Ked",Gg. Cihampelas No. 247,Tanjungpinang,+62 (12) 995 9036,1966-09-05,3.08,2022-06-28
Jaiman Utami,Gang Ciwastra No. 484,Surakarta,0833918663,1999-02-10,3.5,2019-12-17
"dr. Nurul Wijaya, S.Ked",Jl. Soekarno Hatta No. 237,Banjarmasin,+62 (067) 111 0235,2001-01-20,3.59,2019-08-07
Cakrabuana Wibisono,Gang Abdul Muis No. 133,Meulaboh,+62 (354) 074-5006,1978-11-15,3.47,2018-10-13
Eka Firmansyah,Jl. Bangka Raya No. 236,Yogyakarta,+62-74-631-6783,1986-11-03,3.17,2020-01-17
"Titin Astuti, S.T.",Jl. PHH. Mustofa No. 81,Bengkulu,+62 (0395) 174-9607,1999-02-08,3.19,2023-01-17
"Edward Putra, S.Sos",Gg. Rawamangun No. 16,Kendari,+62 (766) 078-9812,1968-06-16,3.56,2020-06-19
"Puti Ratih Permadi, S.Gz",Jalan Kapten Muslihat No. 570,Tebingtinggi,+62 (23) 294-3741,1986-01-09,2.9,2023-02-24
Ghani Aryani,Jl. Otto Iskandardinata No. 78,Mojokerto,+62 (33) 016-5313,1978-01-19,3.06,2020-11-27
Hani Hidayanto,Gang Joyoboyo No. 710,Pariaman,+62 (0974) 915 5434,1971-01-11,3.22,2023-05-18
Eluh Suryatmi,Jl. Jamika No. 0,Metro,+62 (074) 646-9408,1998-02-21,3.25,2020-04-17
Gandi Rahmawati,Jl. Waringin No. 991,Palembang,+62 (67) 426 7883,1972-02-02,3.44,2021-10-11
"Dodo Marpaung, S.Ked",Gang Ciwastra No. 2,Pematangsiantar,+62 (009) 099-2360,2001-02-26,3.16,2019-12-18
"Mahesa Agustina, M.Farm",Jl. Gedebage Selatan No. 26,Parepare,(036) 450-3692,1997-03-27,3.3,2019-03-25
Anita Yuniar,Gg. Dipenogoro No. 907,Pariaman,(009) 560 0256,1988-03-19,3.58,2019-01-12
Belinda Prasetyo,Jl. Wonoayu No. 193,Bukittinggi,(0155) 000-0284,2000-05-28,3.56,2020-08-23
"drg. Caturangga Maulana, S.Kom",Gg. Pacuan Kuda No. 81,Yogyakarta,(0160) 185 0294,1982-12-26,3.62,2018-12-23
Uli Salahudin,Jalan Tebet Barat Dalam No. 9,Sabang,+62 (0855) 152-1261,1995-08-14,3.47,2018-10-12
Himawan Prayoga,Gg. Surapati No. 9,Pekanbaru,(0749) 670 5311,1995-10-21,3.36,2022-09-07
Novi Saefullah,Gg. Cikapayang No. 54,Sungai Penuh,+62-77-430-0082,1997-02-18,3.56,2019-06-14
"Murti Natsir, M.Farm",Jalan KH Amin Jasuta No. 30,Payakumbuh,+62-139-239-0123,1978-09-30,3.34,2023-02-21
Ajimin Yulianti,Jl. Ir. H. Djuanda No. 42,Bandung,(0836) 753-5874,1997-08-18,3.62,2021-05-21
Cut Julia Pudjiastuti,Gg. W.R. Supratman No. 2,Denpasar,(042) 230 8979,1996-01-21,3.56,2019-12-28
Kayla Anggriawan,Gang Cihampelas No. 2,Tanjungbalai,+62 (41) 051 1745,1993-07-29,3.53,2021-05-11
"Tgk. Eva Pratama, M.Kom.",Gg. Erlangga No. 2,Surakarta,+62 (008) 753 7717,2000-11-03,3.47,2019-10-14
